"Plot Title: MSLE"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","High Range, μS/cm (LGR S/N: 20370967, SEN S/N: 20370967)","Temp, °C (LGR S/N: 20370967, SEN S/N: 20370967)","Coupler Detached (LGR S/N: 20370967)","Coupler Attached (LGR S/N: 20370967)","Stopped (LGR S/N: 20370967)","End Of File (LGR S/N: 20370967)"
117,07/11/18 09:29:04 PM,5282.7,5337.3,19.98,,,,
118,07/11/18 09:59:04 PM,5282.1,5336.0,19.98,,,,
119,07/11/18 10:29:04 PM,5282.7,5337.3,20.00,,,,
120,07/11/18 10:59:04 PM,5282.1,5336.7,19.98,,,,
121,07/11/18 11:29:04 PM,5284.7,5336.7,20.00,,,,
122,07/11/18 11:59:04 PM,5281.4,5336.0,20.00,,,,
123,07/12/18 12:29:04 AM,5282.1,5336.0,20.01,,,,
124,07/12/18 12:59:04 AM,5284.0,5336.7,20.01,,,,
125,07/12/18 01:29:04 AM,5284.0,5337.3,20.02,,,,
126,07/12/18 01:59:04 AM,5284.7,5337.3,20.02,,,,
127,07/12/18 02:29:04 AM,5284.0,5337.3,20.02,,,,
128,07/12/18 02:59:04 AM,5284.0,5339.2,20.03,,,,
129,07/12/18 03:29:04 AM,5287.4,5340.5,20.03,,,,
130,07/12/18 03:59:04 AM,5286.7,5341.2,20.04,,,,
131,07/12/18 04:29:04 AM,5289.3,5343.8,20.04,,,,
132,07/12/18 04:59:04 AM,5292.0,5345.7,20.05,,,,
133,07/12/18 05:29:04 AM,5308.5,5362.5,20.05,,,,
134,07/12/18 05:59:04 AM,5321.1,5374.8,20.07,,,,
135,07/12/18 06:29:04 AM,5323.8,5380.0,20.08,,,,
136,07/12/18 06:59:04 AM,5330.4,5383.8,20.08,,,,
137,07/12/18 07:29:04 AM,5330.4,5387.7,20.09,,,,
138,07/12/18 07:59:04 AM,5333.1,5388.4,20.10,,,,
139,07/12/18 08:29:04 AM,5333.1,5386.4,20.10,,,,
140,07/12/18 08:59:04 AM,5330.4,5383.8,20.11,,,,
141,07/12/18 09:29:04 AM,5330.4,5381.9,20.11,,,,
142,07/12/18 09:59:04 AM,5330.4,5381.9,20.12,,,,
143,07/12/18 10:29:04 AM,5326.4,5381.9,20.12,,,,
144,07/12/18 10:59:04 AM,5326.4,5381.3,20.12,,,,
145,07/12/18 11:29:04 AM,5326.4,5380.0,20.12,,,,
146,07/12/18 11:59:04 AM,5326.4,5380.0,20.12,,,,
147,07/12/18 12:29:04 PM,5326.4,5380.0,20.12,,,,
148,07/12/18 12:59:04 PM,5326.4,5379.3,20.12,,,,
